authority_key,landing_url,verification_date,verification_status
caltanissetta,https://prefettura.interno.gov.it/it/prefetture/caltanissetta/evidenza/white-list,2026-09-11,verified
campobasso,https://prefettura.interno.gov.it/it/prefetture/campobasso/evidenza/white-list,2026-09-11,verified
caserta,https://prefettura.interno.gov.it/it/prefetture/caserta/elenco-white-list,2026-09-12,verified
catania,https://prefettura.interno.gov.it/it/prefetture/catania/comunicazioni/white-list-provinciale,2026-09-12,verified
catanzaro,https://prefettura.interno.gov.it/it/prefetture/catanzaro/provvedimenti-whitelist-elenchi,2026-09-15,verified
chieti,https://prefettura.interno.gov.it/it/prefetture/chieti/evidenza/white-list,2026-09-18,verified
como,https://prefettura.interno.gov.it/it/prefetture/como/elenco-ditte-iscritte-white-list,2026-09-17,verified
cosenza,https://prefettura.interno.gov.it/it/prefetture/cosenza/evidenza/white-list,2026-09-06,verified
cremona,https://prefettura.interno.gov.it/it/prefetture/cremona/evidenza/white-list-elenco-ditte,2026-09-18,verified
crotone,https://prefettura.interno.gov.it/it/prefetture/crotone/evidenza/white-list,2026-09-11,verified
cuneo,https://prefettura.interno.gov.it/it/prefetture/cuneo/elenco-iscritti-white-liste-e-elenco-richiedenti-white-list,2026-09-19,verified
fermo,https://prefettura.interno.gov.it/it/prefetture/fermo/white-list-elenco-imprese-richiedenti-e-iscritte,2026-09-19,verified
ferrara,https://prefettura.interno.gov.it/it/prefetture/ferrara/evidenza/white-list,2026-09-20,verified
firenze,https://prefettura.interno.gov.it/it/prefetture/firenze/white-list-elenco-imprese-iscritte,2026-09-18,verified
foggia,https://prefettura.interno.gov.it/it/prefetture/foggia/evidenza/white-list,2026-09-13,verified
forli-cesena,https://prefettura.interno.gov.it/it/prefetture/forli-cesena/evidenza/white-list,2026-09-13,verified
frosinone,https://prefettura.interno.gov.it/it/prefetture/frosinone/evidenza/white-list,2026-09-13,verified
genova,https://prefettura.interno.gov.it/it/prefetture/genova/elenco-imprese-iscritte-white-list,2026-09-12,verified
gorizia,https://prefettura.interno.gov.it/it/prefetture/gorizia/evidenza/white-list,2026-09-13,verified
grosseto,https://prefettura.interno.gov.it/it/prefetture/grosseto/evidenza/white-list,2026-09-19,verified
imperia,https://prefettura.interno.gov.it/it/prefetture/imperia/evidenza/white-list,2026-09-19,verified
laquila,https://prefettura.interno.gov.it/it/prefetture/laquila/white-list-elenchi-imprese,2026-09-18,verified
lecce,https://prefettura.interno.gov.it/it/prefetture/lecce/evidenza/white-list,2026-09-18,verified
lecco,https://prefettura.interno.gov.it/it/prefetture/lecco/white-list-elenco-imprese-iscritte,2026-09-15,verified
lodi,https://prefettura.interno.gov.it/it/prefetture/lodi/evidenza/white-list,2026-09-15,verified
lucca,https://prefettura.interno.gov.it/it/prefetture/lucca/elenco-imprese-iscritte-e-richiedenti,2026-09-19,verified
macerata,https://prefettura.interno.gov.it/it/prefetture/macerata/white-list-elenco-imprese-iscritte,2026-09-19,verified
matera,https://prefettura.interno.gov.it/it/prefetture/matera/evidenza/white-list,2026-09-20,verified
messina,https://prefettura.interno.gov.it/it/prefetture/messina/evidenza/white-list,2026-09-18,verified
milano,https://prefettura.interno.gov.it/it/prefetture/milano/evidenza/white-list,2026-09-16,verified
modena,https://prefettura.interno.gov.it/it/prefetture/modena/white-list-elenchi-provinciali-ed-elenchi-ricostruzione-post-sisma,2026-09-17,verified
napoli,https://prefettura.interno.gov.it/it/prefetture/napoli/evidenza/white-list,2026-09-06,verified
padova,https://prefettura.interno.gov.it/it/prefetture/padova/white-list,2026-09-06,verified
palermo,https://prefettura.interno.gov.it/it/prefetture/palermo/evidenza/white-list,2026-09-19,verified
parma,https://prefettura.interno.gov.it/it/prefetture/parma/evidenza/white-list,2026-09-06,verified
perugia,https://prefettura.interno.gov.it/it/prefetture/perugia/evidenza/white-list,2026-09-14,verified
pesaro-e-urbino,https://prefettura.interno.gov.it/it/prefetture/pesaro-urbino/white-list-elenco-imprese-iscritte,2026-09-10,verified
pisa,https://prefettura.interno.gov.it/it/prefetture/pisa/white-list-elenco-imprese-iscritte-e-richiedenti-iscrizione,2026-09-15,verified
pistoia,https://prefettura.interno.gov.it/it/prefetture/pistoia/evidenza/white-list,2026-09-06,verified
potenza,https://prefettura.interno.gov.it/it/prefetture/potenza/evidenza/white-list,2026-09-06,verified
roma,https://prefettura.interno.gov.it/it/prefetture/roma/evidenza/white-list,2026-09-15,verified
sassari,https://prefettura.interno.gov.it/it/prefetture/sassari/evidenza/white-list,2026-09-15,verified
siracusa,https://prefettura.interno.gov.it/it/prefetture/siracusa/evidenza/white-list,2026-09-20,verified
taranto,https://prefettura.interno.gov.it/it/prefetture/taranto/white-list-elenco-imprese-iscritte,2026-09-18,verified
torino,https://prefettura.interno.gov.it/it/prefetture/torino/evidenza/white-list,2026-09-06,verified
trapani,https://prefettura.interno.gov.it/it/prefetture/trapani/evidenza/white-list,2026-09-19,verified
trento,https://prefettura.interno.gov.it/it/prefetture/trento/evidenza/white-list,2026-09-14,verified
udine,https://prefettura.interno.gov.it/it/prefetture/udine/evidenza/white-list,2026-09-10,verified
